年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,Gap％,振幅％,MA5,MA10,MA20,MA5差％,MA20差％,週幾,成交量(千股)_log,成交量(千股)_rel20％,收盤價(元)_lag1,收盤價(元)_lag2,收盤價(元)_lag3,收盤價(元)_lag4,收盤價(元)_lag5,成交量(千股)_lag1,成交量(千股)_lag2,成交量(千股)_lag3,成交量(千股)_lag4,成交量(千股)_lag5,報酬率％_lag1,報酬率％_lag2,報酬率％_lag3,報酬率％_lag4,報酬率％_lag5,Gap％_lag1,Gap％_lag2,Gap％_lag3,Gap％_lag4,Gap％_lag5,振幅％_lag1,振幅％_lag2,振幅％_lag3,振幅％_lag4,振幅％_lag5,MA5差％_lag1,MA5差％_lag2,MA5差％_lag3,MA5差％_lag4,MA5差％_lag5,MA20差％_lag1,MA20差％_lag2,MA20差％_lag3,MA20差％_lag4,MA20差％_lag5,成交量(千股)_log_lag1,成交量(千股)_log_lag2,成交量(千股)_log_lag3,成交量(千股)_log_lag4,成交量(千股)_log_lag5,成交量(千股)_rel20％_lag1,成交量(千股)_rel20％_lag2,成交量(千股)_rel20％_lag3,成交量(千股)_rel20％_lag4,成交量(千股)_rel20％_lag5,TSM_ADR_close,TSM_ADR_ret1d
2020-02-06,386.7699890136719,387.3900146484375,384.45001220703125,385.0400085449219,311.5,-0.18405481661131207,0.2644171130711248,0.7621522855233311,383.6700012207031,381.34100036621095,378.09550018310546,0.35707960483224443,1.8367074875139444,3,5.744604469176457,-25.806835774681435,385.75,386.19000244140625,379.7099914550781,381.6600036621094,389.3800048828125,470.6,420.4,460.9,630.6,808.8,-0.11393418747887019,1.7065684686084381,-0.5109291485407064,-1.98263935587204,2.885381195975256,1.188533185445939,1.5353868007272231,0.7860399232862747,-0.7139551965780977,1.321143611713449,1.6520378162250566,1.4036993211162823,2.075140919709249,2.1752532524756245,3.987210452516684,0.3151832875242011,0.811841827299653,-0.4488481598817651,0.4431865910528243,2.7355348602289276,2.2973479593565216,2.745220858104558,1.3796812625064048,2.1277291083245053,4.423897315310987,6.156131168663216,6.043582501370088,6.13534841743656,6.448256282381487,6.696787303598061,10.885956644674843,0.13099916636893916,8.741299988203366,48.7790491919311,90.82222484369468,58.02000045776367,
2020-02-07,385.3699951171875,388.260009765625,383.5400085449219,385.44000244140625,303.2,0.10388372314762417,0.08570189199628153,1.2258469551099782,384.4260009765625,382.2010009765625,378.8620010375977,0.2637702606659964,1.736252615937528,4,5.717685379825192,-27.124143732724438,385.0400085449219,385.75,386.19000244140625,379.7099914550781,381.6600036621094,311.5,470.6,420.4,460.9,630.6,-0.18405481661131207,-0.11393418747887019,1.7065684686084381,-0.5109291485407064,-1.98263935587204,0.2644171130711248,1.188533185445939,1.5353868007272231,0.7860399232862747,-0.7139551965780977,0.7621522855233311,1.6520378162250566,1.4036993211162823,2.075140919709249,2.1752532524756245,0.35707960483224443,0.3151832875242011,0.811841827299653,-0.4488481598817651,0.4431865910528243,1.8367074875139444,2.2973479593565216,2.745220858104558,1.3796812625064048,2.1277291083245053,5.744604469176457,6.156131168663216,6.043582501370088,6.13534841743656,6.448256282381487,-25.806835774681435,10.885956644674843,0.13099916636893916,8.741299988203366,48.7790491919311,56.20000076293945,-0.031368488115561255
2020-02-10,384.0,391.7799987792969,383.75,391.7799987792969,373.4,1.644872430918598,-0.3735996347771775,2.083333003433544,386.8400024414062,384.13099975585936,379.9335006713867,1.277012797723498,3.118045154474669,0,5.9253247446034365,-10.251171734166576,385.44000244140625,385.0400085449219,385.75,386.19000244140625,379.7099914550781,303.2,311.5,470.6,420.4,460.9,0.10388372314762417,-0.18405481661131207,-0.11393418747887019,1.7065684686084381,-0.5109291485407064,0.08570189199628153,0.2644171130711248,1.188533185445939,1.5353868007272231,0.7860399232862747,1.2258469551099782,0.7621522855233311,1.6520378162250566,1.4036993211162823,2.075140919709249,0.2637702606659964,0.35707960483224443,0.3151832875242011,0.811841827299653,-0.4488481598817651,1.736252615937528,1.8367074875139444,2.2973479593565216,2.745220858104558,1.3796812625064048,5.717685379825192,5.744604469176457,6.156131168663216,6.043582501370088,6.13534841743656,-27.124143732724438,-25.806835774681435,10.885956644674843,0.13099916636893916,8.741299988203366,57.02000045776367,0.01459074170271113
2020-02-11,394.2699890136719,395.0,389.6199951171875,389.7699890136719,310.4,-0.5130455285843438,0.6355582832541895,1.3732209146907577,387.5559997558594,385.3179992675781,380.7175003051758,0.5712695092340736,2.377744312052843,1,5.741078259399898,-25.39358250210312,391.7799987792969,385.44000244140625,385.0400085449219,385.75,386.19000244140625,373.4,303.2,311.5,470.6,420.4,1.644872430918598,0.10388372314762417,-0.18405481661131207,-0.11393418747887019,1.7065684686084381,-0.3735996347771775,0.08570189199628153,0.2644171130711248,1.188533185445939,1.5353868007272231,2.083333003433544,1.2258469551099782,0.7621522855233311,1.6520378162250566,1.4036993211162823,1.277012797723498,0.2637702606659964,0.35707960483224443,0.3151832875242011,0.811841827299653,3.118045154474669,1.736252615937528,1.8367074875139444,2.2973479593565216,2.745220858104558,5.9253247446034365,5.717685379825192,5.744604469176457,6.156131168663216,6.043582501370088,-10.251171734166576,-27.124143732724438,-25.806835774681435,10.885956644674843,0.13099916636893916,58.65999984741211,0.028761827016526187
2020-02-12,389.7099914550781,392.1600036621094,385.489990234375,391.05999755859375,301.7,0.3309666165387082,-0.01539306777968985,1.711269111460609,388.6179992675781,386.5779998779297,381.6404998779297,0.6283801305184022,2.468159873932918,2,5.712742216027673,-27.48467732243721,389.7699890136719,391.7799987792969,385.44000244140625,385.0400085449219,385.75,310.4,373.4,303.2,311.5,470.6,-0.5130455285843438,1.644872430918598,0.10388372314762417,-0.18405481661131207,-0.11393418747887019,0.6355582832541895,-0.3735996347771775,0.08570189199628153,0.2644171130711248,1.188533185445939,1.3732209146907577,2.083333003433544,1.2258469551099782,0.7621522855233311,1.6520378162250566,0.5712695092340736,1.277012797723498,0.2637702606659964,0.35707960483224443,0.3151832875242011,2.377744312052843,3.118045154474669,1.736252615937528,1.8367074875139444,2.2973479593565216,5.741078259399898,5.9253247446034365,5.717685379825192,5.744604469176457,6.156131168663216,-25.39358250210312,-10.251171734166576,-27.124143732724438,-25.806835774681435,10.885956644674843,59.630001068115234,0.01653599084940871
2020-02-13,389.1300048828125,391.55999755859375,386.2799987792969,388.3900146484375,270.4,-0.6827553129507224,-0.4935285347082985,1.3501761397893315,389.2880004882812,386.4790008544922,382.38350067138674,-0.23067390690629797,1.570808878130081,3,5.603593747400769,-35.007811561110444,391.05999755859375,389.7699890136719,391.7799987792969,385.44000244140625,385.0400085449219,301.7,310.4,373.4,303.2,311.5,0.3309666165387082,-0.5130455285843438,1.644872430918598,0.10388372314762417,-0.18405481661131207,-0.01539306777968985,0.6355582832541895,-0.3735996347771775,0.08570189199628153,0.2644171130711248,1.711269111460609,1.3732209146907577,2.083333003433544,1.2258469551099782,0.7621522855233311,0.6283801305184022,0.5712695092340736,1.277012797723498,0.2637702606659964,0.35707960483224443,2.468159873932918,2.377744312052843,3.118045154474669,1.736252615937528,1.8367074875139444,5.712742216027673,5.741078259399898,5.9253247446034365,5.717685379825192,5.744604469176457,-27.48467732243721,-25.39358250210312,-10.251171734166576,-27.124143732724438,-25.806835774681435,59.33000183105469,-0.005031011767346105
2020-02-14,388.2099914550781,392.7699890136719,388.2099914550781,392.7300109863281,279.2,1.1174325225171033,-0.04635113843550753,1.1740769295321263,390.7460021972656,387.58600158691405,383.23500061035156,0.507748966823951,2.4775947814929644,4,5.635503633902907,-29.64596195035909,388.3900146484375,391.05999755859375,389.7699890136719,391.7799987792969,385.44000244140625,270.4,301.7,310.4,373.4,303.2,-0.6827553129507224,0.3309666165387082,-0.5130455285843438,1.644872430918598,0.10388372314762417,-0.4935285347082985,-0.01539306777968985,0.6355582832541895,-0.3735996347771775,0.08570189199628153,1.3501761397893315,1.711269111460609,1.3732209146907577,2.083333003433544,1.2258469551099782,-0.23067390690629797,0.6283801305184022,0.5712695092340736,1.277012797723498,0.2637702606659964,1.570808878130081,2.468159873932918,2.377744312052843,3.118045154474669,1.736252615937528,5.603593747400769,5.712742216027673,5.741078259399898,5.9253247446034365,5.717685379825192,-35.007811561110444,-27.48467732243721,-25.39358250210312,-10.251171734166576,-27.124143732724438,58.189998626708984,-0.019214616031732468
2020-02-18,390.82000732421875,392.2200012207031,388.510009765625,389.3299865722656,319.5,-0.8657409209760769,-0.4863401341070106,0.944667163520457,390.25599975585936,388.5480010986328,383.7145004272461,-0.23728352265514063,1.463454244957374,1,5.7698822763607245,-14.560770156438018,392.7300109863281,388.3900146484375,391.05999755859375,389.7699890136719,391.7799987792969,279.2,270.4,301.7,310.4,373.4,1.1174325225171033,-0.6827553129507224,0.3309666165387082,-0.5130455285843438,1.644872430918598,-0.04635113843550753,-0.4935285347082985,-0.01539306777968985,0.6355582832541895,-0.3735996347771775,1.1740769295321263,1.3501761397893315,1.711269111460609,1.3732209146907577,2.083333003433544,0.507748966823951,-0.23067390690629797,0.6283801305184022,0.5712695092340736,1.277012797723498,2.4775947814929644,1.570808878130081,2.468159873932918,2.377744312052843,3.118045154474669,5.635503633902907,5.603593747400769,5.712742216027673,5.741078259399898,5.9253247446034365,-29.64596195035909,-35.007811561110444,-27.48467732243721,-25.39358250210312,-10.251171734166576,56.18000030517578,-0.03454198949938836
2020-02-19,390.239990234375,394.3900146484375,387.8699951171875,387.9700012207031,297.7,-0.3493143088042272,0.23373582654684366,1.674676946580323,389.8960021972656,388.7260009765625,384.2,-0.4939781289647671,0.9812600782673542,2,5.699439725222064,-20.283839871468736,389.3299865722656,392.7300109863281,388.3900146484375,391.05999755859375,389.7699890136719,319.5,279.2,270.4,301.7,310.4,-0.8657409209760769,1.1174325225171033,-0.6827553129507224,0.3309666165387082,-0.5130455285843438,-0.4863401341070106,-0.04635113843550753,-0.4935285347082985,-0.01539306777968985,0.6355582832541895,0.944667163520457,1.1740769295321263,1.3501761397893315,1.711269111460609,1.3732209146907577,-0.23728352265514063,0.507748966823951,-0.23067390690629797,0.6283801305184022,0.5712695092340736,1.463454244957374,2.4775947814929644,1.570808878130081,2.468159873932918,2.377744312052843,5.7698822763607245,5.635503633902907,5.603593747400769,5.712742216027673,5.741078259399898,-14.560770156438018,-29.64596195035909,-35.007811561110444,-27.48467732243721,-25.39358250210312,57.63999938964844,0.025987879610925413
2020-02-20,387.17999267578125,390.8800048828125,383.739990234375,384.010009765625,432.2,-1.020695270927774,-0.20362619337479515,1.8403522504245853,388.4860046386719,388.552001953125,384.6175003051758,-1.152163738101708,-0.15794667145118124,3,6.071199515126835,15.592404386199533,387.9700012207031,389.3299865722656,392.7300109863281,388.3900146484375,391.05999755859375,297.7,319.5,279.2,270.4,301.7,-0.3493143088042272,-0.8657409209760769,1.1174325225171033,-0.6827553129507224,0.3309666165387082,0.23373582654684366,-0.4863401341070106,-0.04635113843550753,-0.4935285347082985,-0.01539306777968985,1.674676946580323,0.944667163520457,1.1740769295321263,1.3501761397893315,1.711269111460609,-0.4939781289647671,-0.23728352265514063,0.507748966823951,-0.23067390690629797,0.6283801305184022,0.9812600782673542,1.463454244957374,2.4775947814929644,1.570808878130081,2.468159873932918,5.699439725222064,5.7698822763607245,5.635503633902907,5.603593747400769,5.712742216027673,-20.283839871468736,-14.560770156438018,-29.64596195035909,-35.007811561110444,-27.48467732243721,56.47999954223633,-0.020124910820530584
